Pectoralis,AntDelt,PostDelt,TeresMaj,TriLong,TriShort,BicepLong,BicepShort,Brachiorad,FlexCarpiRad,FlexCarpiUln,ExtCarpiRad,
0.00888561,0.000800508,6.98946e-05,0.00105817,-0.000265866,-0.00112638,-0.00321143,-0.00107982,0.00749259,0.00255334,0.00140038,0.002392,
0.0121352,0.00323169,-0.00183797,-0.00210971,-0.00310313,0.0039724,0.00166123,-0.00209958,0.00817991,-0.00174027,0.00916499,0.00760431,
0.01925,0.00147845,-0.00117032,0.00341475,-0.000789567,0.00166666,-0.00022671,-0.00376358,0.00275159,0.0123173,0.00276458,0.00670076,
0.0279768,0.00326756,-0.00211243,-0.00200696,0.000557861,0.00129277,-0.000182583,-0.00220849,-0.00428522,0.0163951,0.0044134,0.000647405,
0.0215747,0.0102089,0.000486753,0.000941641,-0.00260226,0.00124107,-0.000781676,-0.00258535,-0.00134067,0.0169323,0.00606313,0.00296604,
0.0241897,0.0045957,-0.00721631,-0.00254885,0.00164188,0.00151164,-0.00234569,-0.000386949,0.00450248,0.0103875,0.0118992,0.00689609,
0.0309928,0.00799832,-0.000754048,7.72586e-05,-0.00312882,-0.000149074,0.00446194,-0.000442364,0.0148539,0.00963853,0.0141953,0.0159791,
0.0303944,0.00206616,-0.00105271,-0.000194462,0.00240212,0.00301977,0.00933932,0.000467857,0.015548,0.00728072,0.0119858,0.0340787,
0.0294774,0.00450614,-0.00328318,-0.00143241,-0.00655491,-0.0021814,0.00777949,-0.00473897,0.0117359,0.00524581,0.00462701,0.0357615,
0.0243785,0.00759179,0.000925021,0.00151443,-0.00070321,0.00324204,0.0100848,-0.00157542,0.00695878,0.00643132,0.00531871,0.0377688,
0.0231464,0.00456243,-0.00227163,0.00156329,-0.00354461,0.00287111,0.0107826,0.000300297,0.00829933,0.00665207,0.0101978,0.0375251,
0.0225618,0.00378867,0.000648411,-0.000641999,5.21344e-05,0.00282276,0.0143801,-0.00136538,0.00352364,0.00333254,0.00960618,0.0392157,
0.0223028,0.00720225,0.00163659,0.00423483,-0.00472236,0.00631645,0.0192679,0.000188389,0.0151675,0.00452132,0.0054757,0.0351141,
0.00562849,0.00675474,-0.00252652,-0.000869213,-0.00370269,0.00562562,0.0164318,-0.00212109,0.0284216,0.00635514,0.00456728,0.0255423,
0.010528,0.00888506,0.000392857,0.0014307,-0.00558131,0.00461361,0.0213252,-0.00185492,0.035559,0.00239518,0.00720302,0.00406141,
-0.00227552,0.0090861,-0.0011952,-0.00174318,-0.00134389,0.00489017,0.0155975,0.00227471,0.0407649,0.00777273,0.0104856,-0.0151632,
0.00134372,0.00961155,0.00140173,-0.00878119,-0.00483396,0.00613338,0.0188874,-0.00711702,0.0321272,0.00413711,0.00765436,-0.0466189,
