Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.360475,0.229283,0.215566,1.3752,-0.527849,-0.263532,-0.729401,
-0.361062,0.229287,0.215825,1.37424,-0.527501,-0.263455,-0.728046,
-0.361385,0.229581,0.216144,1.37356,-0.527664,-0.263211,-0.729565,
-0.362032,0.229458,0.216232,1.37253,-0.527788,-0.262868,-0.730228,
-0.362571,0.229547,0.216389,1.37173,-0.527654,-0.262478,-0.731376,
-0.363085,0.229511,0.216465,1.37078,-0.527618,-0.262119,-0.731679,
-0.36371,0.229173,0.216107,1.36946,-0.527361,-0.261694,-0.73081,
-0.36424,0.229145,0.21614,1.36853,-0.526991,-0.261326,-0.73115,
-0.364856,0.228944,0.216127,1.36732,-0.527076,-0.261081,-0.73086,
-0.36541,0.229287,0.216695,1.36672,-0.527204,-0.260865,-0.731272,
-0.365935,0.229052,0.216447,1.36589,-0.527259,-0.260572,-0.731564,
-0.36636,0.22932,0.216784,1.36471,-0.527101,-0.26004,-0.732538,
-0.366865,0.22952,0.217072,1.36426,-0.527183,-0.259889,-0.733516,
-0.367525,0.229278,0.21697,1.36311,-0.526765,-0.259487,-0.732174,
-0.367973,0.229535,0.217361,1.36227,-0.52725,-0.259151,-0.732797,
-0.368557,0.229445,0.217256,1.36125,-0.526741,-0.258631,-0.73329,
-0.369118,0.229399,0.217311,1.36024,-0.527118,-0.258062,-0.735129,
-0.369732,0.229613,0.217921,1.35947,-0.526643,-0.258316,-0.73436,
-0.370098,0.229764,0.21812,1.35872,-0.526733,-0.258012,-0.7355,
-0.370809,0.22963,0.218022,1.35758,-0.526895,-0.257286,-0.73723,
-0.371407,0.229744,0.218212,1.35689,-0.526963,-0.257112,-0.73895,
-0.371913,0.229961,0.218706,1.35587,-0.526758,-0.256839,-0.738427,
-0.372461,0.229927,0.218828,1.35509,-0.526817,-0.256379,-0.737186,
-0.373049,0.230082,0.21915,1.35415,-0.527019,-0.256246,-0.73913,
-0.373612,0.230006,0.219147, 1.353,-0.526398,-0.255607,-0.738677,
-0.374231,0.230251,0.219736,1.35223,-0.526336,-0.255869,-0.739639,
-0.374814,0.230309,0.219821,1.35134,-0.526405,-0.25536,-0.741326,
-0.375592,0.23025,0.220129,1.34996,-0.526072,-0.254977,-0.74131,
-0.376125,0.230423,0.220428,1.34937,-0.526244,-0.254298,-0.741496,
-0.376769,0.23034,0.220569,1.34813,-0.525973,-0.253961,-0.740865,
-0.377394,0.23061,0.22105,1.3471,-0.526056,-0.253555,-0.741592,
-0.378015,0.230566,0.221089,1.34605,-0.525766,-0.253009,-0.741769,
-0.378653,0.230538,0.221251,1.34487,-0.525582,-0.252554,-0.741721,
-0.379448,0.230683,0.22173,1.34362,-0.525318,-0.252167,-0.742778,
-0.379936,0.230845,0.221927,1.34278,-0.525427,-0.25155,-0.74301,
-0.380685,0.230771,0.222048,1.34137,-0.525173,-0.251179,-0.743974,
-0.381271,0.231057,0.222541,1.34047,-0.525478,-0.250672,-0.744917,
-0.381932,0.231067,0.22275,1.33917,-0.525297,-0.250242,-0.745455,
-0.382616,0.231177,0.223018,1.33807,-0.52525,-0.2498,-0.745665,
-0.383304,0.231192,0.223075,1.3368,-0.525034,-0.248925,-0.746413,
-0.383948,0.231356,0.223505,1.33573,-0.525388,-0.248592,-0.747304,
-0.384643,0.231437,0.223746,1.33459,-0.525285,-0.248011,-0.748056,
-0.385205,0.231704,0.224159,1.33339,-0.525367,-0.247359,-0.749331,
-0.386057,0.231618,0.224307,1.33214,-0.525715,-0.246979,-0.750354,
-0.386746,0.231615,0.22433,1.33102,-0.525885,-0.246116,-0.750933,
-0.387383,0.231765,0.224536,1.32995,-0.526422,-0.245238,-0.751847,
-0.388077,0.231841,0.224791,1.32877,-0.526635,-0.244711,-0.753207,
-0.388789,0.231916,0.225001,1.32768,-0.527292,-0.243971,-0.755283,
-0.389381,0.232104,0.225245,1.32656,-0.527783,-0.243168,-0.756311,
-0.390271,0.231894,0.225195,1.32497,-0.527362,-0.242502,-0.756229,
-0.390796,0.232087,0.22539,1.32416,-0.52817,-0.241862,-0.758237,
-0.391477,0.232149,0.225668,1.32304,-0.52855,-0.241294,-0.756432,
-0.392193,0.232247,0.225797,1.32145,-0.52854,-0.240622,-0.759192,
-0.392932,0.23225,0.226073,1.32021,-0.528789,-0.240091,-0.757341,
-0.393545,0.232486,0.226669,1.31882,-0.529282,-0.240273,-0.762538,
-0.394221,0.232494,0.226374,1.31786,-0.529719,-0.238497,-0.761252,
