Pectoralis,AntDelt,PostDelt,TeresMaj,TriLong,TriShort,BicepLong,BicepShort,Brachiorad,FlexCarpiRad,FlexCarpiUln,ExtCarpiRad,
-0.000669884,-0.0242133,-0.000569509,0.00384981,-0.00302298,-0.00769121,0.00285971,-0.00486739,-0.00467938,0.000435349,-0.00195807,-0.00679867,
0.0153356,-0.00744471,-0.00253314,0.00805281,0.00484848,0.00566953,0.000864768,-0.0037975,0.000882957,0.0093868,-0.00131456,-0.00362466,
0.0223285,-0.0209503,-0.00707261,0.0087162,0.0185161,0.0119493,0.00176558,-0.00852397,-0.000958487,0.00417324,0.00705339,0.0140362,
0.0148357,-0.0315716,-0.0100027,0.00873748,0.0257461,0.0153338,-0.00763778,-0.00713504,-0.00666188,0.010872,0.00286334,0.0213948,
0.00509112,-0.0512222,-0.00778199,0.00489728,0.0255726,0.0209748,-0.00159025,-0.00961104,-0.00914399,0.0124204,-0.00551429,0.0158759,
0.00243081,-0.0728207,-0.00298605,0.00717582,0.000610776,0.0166389,-0.0074572,-0.0143424,0.00447334,0.0084964,-0.00777742,0.00102112,
-0.00859848,-0.124056,-0.000122043,0.00881233,-0.0108283,0.00458033,-0.00592239,-0.0152122,0.0129424,0.00360731,-0.00617972,-0.000311223,
-0.00513898,-0.181105,-0.000799656,0.0133482,0.00477681,-0.0113372,-0.0124393,-0.0238105,0.0252782,-0.00353457,-0.00361873,0.00189893,
0.00862396,-0.214995,-0.00405304,0.0149885,0.0223147,0.0252266,-0.0134867,-0.0217867,0.0260278,-0.00584647,-0.00234811,0.00411054,
0.0297928,-0.20963,0.00589299,0.0105137,0.0340586,0.0859414,-0.0187231,-0.0207308,0.0171234,-0.0116988,-0.00236791,0.00922139,
0.0316462,-0.1766,0.00714639,0.0169868,0.0509546,0.110283,-0.0255732,-0.00937467,0.0198137,-0.00113119,-0.00142458,0.0130465,
0.019657,-0.132325,0.00196079,0.00768655,0.0411302,0.0969626,-0.0292081,-0.00800081,0.0254066,-0.00472796,-0.00305955,0.0194496,
0.0124978,-0.0845335,0.00933077,0.00225137,0.0354917,0.0830053,-0.0315596,-0.00179984,0.0329366,-0.00478227,-0.00340954,0.0316502,
0.0117781,-0.0657406,0.000925455,-0.00833317,0.0263125,0.0436211,-0.0316622,-0.00139582,0.0279168,-0.00386957,-0.0015088,0.0377369,
0.0094491,-0.0637133,-0.000397274,-0.00603838,0.0303332,0.0116484,-0.0298379,-2.79749e-05,0.0325615,0.0025174,-0.00347424,0.0315929,
