Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3
-0.951204,0.116152,0.14363,0.664408,-0.182226,-0.128686,-0.562787
-0.951209,0.115929,0.143746,0.663988,-0.181948,-0.128565,-0.561839
-0.951215,0.115924,0.144235,0.663846,-0.182359,-0.128786,-0.563793
-0.95123,0.115401,0.143381,0.663327,-0.181929,-0.128332,-0.562157
-0.951155,0.115413,0.144478,0.663184,-0.182115,-0.128944,-0.562608
-0.95119,0.115182,0.144459,0.662664,-0.181498,-0.12886,-0.56062
-0.951237,0.114903,0.144211,0.662409,-0.181613,-0.128564,-0.561269
-0.951179,0.115087,0.145199,0.662407,-0.181764,-0.128849,-0.561595
-0.95131,0.114771,0.144642,0.661933,-0.181612,-0.12858,-0.56053
-0.951025,0.114435,0.144758,0.66209,-0.18163,-0.128712,-0.560277
-0.95107,0.114588,0.145399,0.662099,-0.182092,-0.12867,-0.562865
-0.951035,0.114264,0.145544,0.661558,-0.181142,-0.128714,-0.559656
-0.950829,0.114019,0.14571,0.661798,-0.181459,-0.128982,-0.56088
-0.950827,0.113851,0.145622,0.661636,-0.181169,-0.12865,-0.559864
-0.950844,0.113667,0.145764,0.66131,-0.18085,-0.128502,-0.560289
-0.950846,0.113803,0.146722,0.661313,-0.180822,-0.128916,-0.55988
-0.950697,0.113325,0.14618,0.661324,-0.180669,-0.128926,-0.559211
-0.950564,0.113241,0.146827,0.661319,-0.180271,-0.129077,-0.559679
-0.950538,0.113336,0.147626,0.661335,-0.180292,-0.129416,-0.560888
-0.950529,0.112903,0.147224,0.660981,-0.179535,-0.129437,-0.557753
-0.950345,0.112897,0.147672,0.661285,-0.17976,-0.12928,-0.560397
-0.950388,0.112734,0.147903,0.660995,-0.179083,-0.129218,-0.558684
-0.950354,0.11253,0.148253,0.660959,-0.179001,-0.129257,-0.560651
-0.950198,0.112555,0.148777,0.661071,-0.178531,-0.129442,-0.55871
-0.950292,0.11227,0.14876,0.660706,-0.178173,-0.129541,-0.558403
-0.950182,0.112215,0.149494,0.660727,-0.177802,-0.129568,-0.559359
-0.950151,0.112174,0.14993,0.660721,-0.177637,-0.129831,-0.559523
-0.950136,0.1119,0.149798,0.660624,-0.177274,-0.129504,-0.559569
-0.950028,0.11189,0.150452,0.660739,-0.177254,-0.129626,-0.559548
-0.950097,0.111695,0.150696,0.660452,-0.176574,-0.129673,-0.558462
-0.950081,0.11153,0.150891,0.660419,-0.176446,-0.129451,-0.559024
-0.95011,0.111816,0.152085,0.660415,-0.176348,-0.129594,-0.559405
-0.95016,0.111423,0.151878,0.660231,-0.176338,-0.129664,-0.559495
-0.950039,0.11132,0.152354,0.660146,-0.175675,-0.129521,-0.558877
-0.950088,0.111372,0.152618,0.660263,-0.175771,-0.129284,-0.560415
-0.950163,0.111288,0.153342,0.659967,-0.175155,-0.129139,-0.560449
-0.950061,0.111089,0.153593,0.660032,-0.175384,-0.129508,-0.559471
-0.950144,0.111203,0.15433,0.65988,-0.174885,-0.128995,-0.560172
-0.950163,0.110962,0.154343,0.659799,-0.174788,-0.12876,-0.560748
-0.950177,0.111053,0.155004,0.65984,-0.174522,-0.12889,-0.559609
-0.950304,0.110838,0.155356,0.659381,-0.174006,-0.128771,-0.55884
-0.950244,0.110784,0.155809,0.659427,-0.174033,-0.128697,-0.559167
-0.950283,0.110767,0.155991,0.659507,-0.173985,-0.128478,-0.559474
-0.950398,0.110653,0.156519,0.65905,-0.17348,-0.128431,-0.558218
-0.950352,0.110442,0.156668,0.659112,-0.173423,-0.128462,-0.55786
-0.950443,0.110452,0.157041,0.658945,-0.173382,-0.128084,-0.559047
-0.950563,0.11023,0.157039,0.658659,-0.173161,-0.127944,-0.557908
-0.950562,0.110269,0.157787,0.658706,-0.173118,-0.128131,-0.556793
-0.950642,0.109969,0.157702,0.658438,-0.172769,-0.128012,-0.556199
-0.950657,0.109925,0.158082,0.658365,-0.172915,-0.127852,-0.556486
-0.950668,0.109829,0.158459,0.658347,-0.172794,-0.128025,-0.556083
-0.950825,0.109677,0.158533,0.657934,-0.172457,-0.127774,-0.555704
-0.950785,0.109488,0.158702,0.658028,-0.172685,-0.127717,-0.556147
-0.950938,0.109364,0.158755,0.657726,-0.172548,-0.127497,-0.555846
-0.950962,0.109171,0.158772,0.657634,-0.172531,-0.127339,-0.555938
-0.95093,0.109071,0.158866,0.657838,-0.17283,-0.127353,-0.555888
-0.951031,0.108776,0.158606,0.65755,-0.172651,-0.127089,-0.556295
-0.951088,0.108789,0.159096,0.657377,-0.172711,-0.127029,-0.55591
-0.951142,0.108675,0.159057,0.657508,-0.173004,-0.126953,-0.55695
-0.951181,0.108399,0.158889,0.657265,-0.172814,-0.126865,-0.555918
-0.951191,0.108189,0.158745,0.657213,-0.172725,-0.126839,-0.555287
-0.951227,0.108059,0.158616,0.657163,-0.172829,-0.126631,-0.555239
-0.95126,0.107821,0.158568,0.657102,-0.172957,-0.126714,-0.5558
-0.951295,0.10777,0.158583,0.657128,-0.172936,-0.126693,-0.554949
-0.951362,0.107501,0.158429,0.65692,-0.172785,-0.126666,-0.554743
-0.951367,0.107316,0.158324,0.656852,-0.172862,-0.126644,-0.554329
-0.951402,0.107224,0.158296,0.656918,-0.172869,-0.126721,-0.554656
-0.951463,0.106988,0.158078,0.656684,-0.17266,-0.12665,-0.554246
-0.95143,0.106844,0.158249,0.656686,-0.172581,-0.126869,-0.553924
-0.951469,0.106703,0.158029,0.656573,-0.172361,-0.126832,-0.553148
-0.951518,0.106485,0.157962,0.656434,-0.172299,-0.126878,-0.553562
-0.951603,0.106562,0.158313,0.65647,-0.172327,-0.127003,-0.553813
-0.951664,0.106234,0.15794,0.656251,-0.17197,-0.127031,-0.552811
-0.951665,0.106114,0.157972,0.656261,-0.17203,-0.127085,-0.553974
-0.951741,0.106162,0.158351,0.656185,-0.171758,-0.127396,-0.553149
-0.951735,0.105905,0.158029,0.656145,-0.171621,-0.127343,-0.553227
-0.951774,0.105696,0.158073,0.656135,-0.171648,-0.127648,-0.553562
-0.951773,0.105429,0.157553,0.656177,-0.171505,-0.127715,-0.552632
-0.951869,0.10543,0.157977,0.655978,-0.17133,-0.127785,-0.553773
-0.951863,0.105359,0.157972,0.656111,-0.171162,-0.128103,-0.552718
-0.951978,0.105239,0.158064,0.655824,-0.170741,-0.128198,-0.552735
-0.951956,0.105101,0.158136,0.65591,-0.170791,-0.128373,-0.553115
-0.951967,0.104943,0.157784,0.656049,-0.170484,-0.128397,-0.553768
-0.951952,0.104707,0.157696,0.655957,-0.170187,-0.128574,-0.553283
-0.951935,0.104568,0.15784,0.655979,-0.169729,-0.128952,-0.552677
-0.952031,0.104594,0.157909,0.655803,-0.169505,-0.128879,-0.554004
-0.952077,0.104411,0.158115,0.655825,-0.169352,-0.129309,-0.553848
-0.952075,0.10438,0.158079,0.655842,-0.168912,-0.129593,-0.552886
-0.952079,0.104166,0.158046,0.655718,-0.168176,-0.12972,-0.552506
-0.952146,0.104186,0.158411,0.655618,-0.16837,-0.130151,-0.553246
-0.952158,0.104112,0.158391,0.65577,-0.168039,-0.130443,-0.553179
-0.952074,0.103863,0.158044,0.655683,-0.167318,-0.130426,-0.552115
-0.952078,0.103752,0.158004,0.655713,-0.167062,-0.130574,-0.552587
-0.952122,0.103731,0.158361,0.655666,-0.166814,-0.131006,-0.552654
-0.952106,0.103517,0.158035,0.655587,-0.166171,-0.130957,-0.552251
-0.952096,0.103461,0.15824,0.655645,-0.165832,-0.131415,-0.551897
-0.952171,0.103455,0.158332,0.655668,-0.165616,-0.131277,-0.553112
-0.952085,0.103338,0.158308,0.655582,-0.165275,-0.131674,-0.550983
-0.952179,0.103453,0.158714,0.655671,-0.165099,-0.131911,-0.552871
-0.952144,0.103115,0.158306,0.65555,-0.164546,-0.132074,-0.551261
-0.952162,0.103108,0.158744,0.655472,-0.164166,-0.132344,-0.551237
-0.952164,0.103034,0.158401,0.655543,-0.164036,-0.132199,-0.551843
-0.952176,0.102883,0.158369,0.655406,-0.163518,-0.132293,-0.551712
-0.952267,0.103023,0.159155,0.655343,-0.163363,-0.132894,-0.55063
-0.952149,0.102779,0.158827,0.655466,-0.162979,-0.132822,-0.550949
-0.952193,0.102866,0.159286,0.655269,-0.162865,-0.133142,-0.550952
-0.952279,0.102916,0.159668,0.655226,-0.162623,-0.1333,-0.551505
-0.952147,0.102708,0.159471,0.655113,-0.16191,-0.133502,-0.549068
-0.952186,0.102631,0.159683,0.65527,-0.16223,-0.133684,-0.550566
-0.952129,0.102506,0.15962,0.655141,-0.161734,-0.133818,-0.549423
-0.952171,0.102537,0.159718,0.655097,-0.161646,-0.133693,-0.549863
-0.952165,0.102524,0.159911,0.655189,-0.161675,-0.133912,-0.549597
-0.95213,0.102361,0.159704,0.655163,-0.161354,-0.133609,-0.549292
-0.952125,0.102344,0.159821,0.655071,-0.161492,-0.133682,-0.54932
-0.952189,0.102532,0.16043,0.655216,-0.161614,-0.133833,-0.550324
-0.952072,0.102316,0.160068,0.65524,-0.161512,-0.133593,-0.54975
-0.952068,0.10225,0.160288,0.655276,-0.161597,-0.133721,-0.549824
-0.952014,0.102324,0.160401,0.655352,-0.16139,-0.133347,-0.550421
-0.952011,0.102242,0.160513,0.655286,-0.161479,-0.133532,-0.549743
-0.952058,0.102394,0.16101,0.655353,-0.161701,-0.133618,-0.550168
-0.951973,0.102221,0.1607,0.65548,-0.161655,-0.133243,-0.550524
-0.951954,0.102263,0.161033,0.655418,-0.161862,-0.133277,-0.550319
-0.951976,0.10232,0.161171,0.655536,-0.162017,-0.133238,-0.551193
-0.951835,0.102174,0.161061,0.655655,-0.162017,-0.1331,-0.55066
-0.951902,0.102171,0.161412,0.655582,-0.16212,-0.133037,-0.550863
-0.951803,0.10225,0.161627,0.655678,-0.162182,-0.132931,-0.551322
-0.951792,0.10212,0.161736,0.65559,-0.162024,-0.132997,-0.549973
-0.951895,0.102437,0.162372,0.655659,-0.162373,-0.132889,-0.550939
-0.951889,0.102468,0.162669,0.655592,-0.162207,-0.132732,-0.55138
-0.951703,0.102263,0.16242,0.65578,-0.162428,-0.132754,-0.550791
